"stem","words"
"reflect","reflect, reflected, reflecting, reflection, reflective, reflects"
"respect","respect, respective, respectively"
"sequenc","sequence, sequences, sequencing"
"sma","sma"
"speed","speed, speeded"
"stage","stage, stages"
"sulcus","sulcus"
"transit","transition, transitions, transitive"
"trial","trial, trials"
"visuomotor","visuomotor"
"address","address, addressed, addresses, addressing"
"behavior","behavior, behavioral, behaviorally, behaviors"
"broad","broad, broadly"
"classif","classification"
"cohort","cohort, cohorts"
"contrast","contrast, contrasted, contrasting, contrasts"
"data","data"
"develop","develop, developed, developing, development, develops"
"dorsal","dorsal"
"equal","equal, equally"
"erp","erp, erps"
"explor","exploration, explore, explored, explores, exploring"
"extend","extend, extended, extending, extends"
"extrastri","extrastriate"
"hierarchi","hierarchy"
"impact","impact, impacts"
"includ","include, included, includes, including"
"inferotempor","inferotemporal"
"intermix","intermixed"
"item","item, items"
"novel","novel"
"output","output, outputs"
"physiolog","physiological, physiology"
"random","random, randomized, randomly"
"recent","recent, recently"
"reduct","reduction, reductions"
"repeat_",""
"repetit","repetition, repetitions, repetitive"
"target","target, targeted, targeting, targets"
"unit","unit, units"
"absolut","absolute"
"access","access, accessed, accessible, accessing"
"convers","conversely, conversion"
"expect","expectancy, expectation, expectations, expected"
"interv","interval, intervals"
"judgment","judgment, judgments"
"listen","listen, listened, listener, listeners, listening"
"major","major"
"manipul","manipulable, manipulate, manipulated, manipulating, manipulation, manipulations"
"mechan","mechanical, mechanism, mechanisms"
"minor","minor"
"music","music, musical, musically"
"musician","musicians"
"name","name, named, namely, names, naming"
"need",""
"network","network, networks"
"pitch","pitch"
"planum","planum"
"posterior","posterior, posteriorly"
"recruit","recruit, recruited, recruiting, recruitment, recruits"
"skill","skill, skilled, skills"
"special","special, specialization, specialized"
"temporal","temporale"
"tonal","tonal"
"tone","tone, tones"
"uniqu","unique, uniquely"
"work",""
"anim","animal, animals"
"bodi","bodies, body"
"categori","categories, category"
"convent","conventional"
"corrobor","corroborate, corroborated"
"covert","covert, covertly"
"distribut","distributed, distribution, distributions"
"domain","domain, domains"
"implement","implement, implementation, implemented, implementing, implements"
"invas","invasive"
"lexic","lexical"
"local","local, localization, localize, localized, localizer, localizing, locally"
"map","map, mapped, mapping, mappings, maps"
"obtain","obtain, obtained, obtaining"
"parametr","parametric, parametrically"
"render",""
"represent","representation, representational, representations"
"scan","scan, scanned, scanning, scans"
"storag","storage"
"system","system, systems"
"accord","accord, accordance, according, accordingly"
"drawn","drawn"
"encod","encode, encoded, encodes, encoding"
"engag","engage, engaged, engagement, engages, engaging"
"homolog","homologous"
"instanc","instance, instances"
"later","lateral, laterality, lateralization, lateralized, laterally"
"line","line, lines"
"materi","material, materials"
"nonverb","nonverbal"
"produc","produce, produced, produces, producing"
"robust","robust, robustly, robustness"
"strong","strong, strongly"
"underli","underlie"
"unfamiliar","unfamiliar"
"acquir","acquire, acquired, acquiring"
"amygdalar","amygdalar"
"asymmetr","asymmetric, asymmetrical"
"autonom","autonomic"
"center","center, centered, centers"
"conserv","conservative"
"cue","cue, cueing, cues"
"dynam","dynamic, dynamically, dynamics"
"echo","echo"
"electrophysiolog","electrophysiological, electrophysiology"
"employ","employ, employed, employing"
"extent","extent"
"extinct","extinction"
"grade","grade, graded"
"implic","implicate, implicated, implicates, implicating, implication, implications"
"indices","indiceses"
"predict","predict, predictability, predictable, predicted, predicting, prediction, predictions, predictive, predicts"
"profil","profile, profiles"
"puls","pulse, pulsed, pulses"
"rat","rat, rats"
"record","record, recorded, recording, recordings"
"reliabl","reliability, reliable, reliably"
"shock","shock"
"simpl","simple"
"slice","slice, slices"
"speci","species"
"statist","statistic, statistical, statistically, statistics"
"type","type, types"
"adapt","adapt, adaptation, adaptations, adapted, adapting, adaptive, adaptively"
"avers","aversion, aversive"
"character","characterization, characterize, characterized, characterizes, characterizing"
"classic","classic, classical, classically"
"constrain","constrain, constrained"
"enabl","enable, enabled, enables, enabling"
"evok","evoke, evoked, evokes, evoking"
"insula","insula, insulae"
"interact","interact, interacted, interacting, interaction, interactions, interactive, interacts"
"known",""
"paradigm","paradigm, paradigms"
"assum","assume, assumed, assumes, assuming"
"execut","execute, executed, executing, execution, executive"
"factor","factor, factors"
"ident","identical, identities, identity"
"mid","mid"
"nonspati","nonspatial"
"support","support, supported, supporting, supportive, supports"
"unrel","unrelated"
"ventrolater","ventrolateral"
"brodmann","brodmann"
"delay","delay, delayed, delays"
"divis","division, divisions"
"fire","firing"
"held","held"
"lesion","lesion, lesions"
"literatur","literature"
"mainten","maintenance"
"model","model, modeled, modeling, modelling, models"
"necessari",""
"neurophysiolog","neurophysiological, neurophysiology"
"probe","probe, probed, probes, probing"
"propos","proposal, proposals, propose, proposed, proposes"
"standard","standard, standardized"
"subdivis","subdivision, subdivisions"
"subgroup","subgroup, subgroups"
"subtract","subtracted, subtraction"
"temporari","temporary"
"ventral","ventral"
"cerebellar","cerebellar"
"cerebellum","cerebellum"
"disappear","disappeared"
"expans","expansion"
"invers","inverse, inversely, inversion"
"largest","largest"
"minut","minute, minutes"
"motion","motion"
"notabl","notable, notably"
"occur","occur, occurred, occurring, occurs"
"probabl","probabilities, probability, probable, probably"
"psychophys","psychophysical"
"restor",""
"sensit","sensitive, sensitivity, sensitization"
"subsystem","subsystem, subsystems"
"train","train, trained, training, trains"
"untrain","untrained"
"administr","administration"
"conclud","conclude, concluded"
"establish","establish, established, establishing, establishment"
"hemodynam","hemodynamic"
"low","low"
"nonspecif","nonspecific"
"secondari","secondary"
"thalam","thalamic"
"thalamus","thalamus"
"understood","understood"
"anatomi","anatomy"
"integr","integral, integrate, integrated, integrates, integrating, integration, integrative, integrity"
"oculomotor","oculomotor"
"peripher","peripheral"
"saccad","saccade, saccades, saccadic"
"surfac","surface, surfaces"
"tight","tightly"
"abil","abilities, ability"
"aspect","aspect, aspects"
"autom","automated"
"capabl","capability, capable"
"cognit","cognition, cognitive, cognitively"
"compon","component, components"
"concomit","concomitant"
"consid","consider, considered, considering"
"content","content, contents"
"dysfunct","dysfunction, dysfunctional, dysfunctions"
"evalu","evaluate, evaluated, evaluating, evaluation, evaluations, evaluative"
"faster","faster"
"former","former"
"forward","forward"
"gyri","gyri"
"linear","linear, linearly"
"mesial","mesial"
"period","period, periodicals, periods"
"phonolog","phonological, phonologically, phonology"
"power","power, powerful"
"preserv","preservation, preserved"
"presum","presumably, presumed"
"product","product, production"
"rate","rate, rated, rates, rating, ratings"
"refer","refer, reference, referent, referred, referring, refers"
"revers","reversal, reversals, reverse, reversed, reversible"
"salient","salient"
"sign","sign, signed, signs"
"store","store, stored"
"string","string, strings"
"success","success, successful, successfully, successive"
"tool","tool, tools"
"updat","update, updated, updating"
"various","various"
"administ","administered"
"brainstem","brainstem"
"caudal","caudal"
"caus","cause, caused, causes, causing"
"combin","combination, combinations, combine, combined, combines, combining"
"concentr","concentrated, concentration, concentrations"
"conclus","conclusion"
"defect","defect, defective"
"disclos","disclosed"
"disconnect","disconnection"
"disturb","disturbance, disturbances, disturbed"
"essenti","essential, essentially"
"failur","failure, failures"
"hypoperfus","hypoperfusion"
"infarct",""
"insuffici","insufficient"
"isol","isolate, isolated, isolating, isolation"
"localis","localisation, localised"
"neuroanatom","neuroanatomical"
"nuclei","nuclei"
"perfus","perfusion"
"persist","persist, persisted, persistence, persistent, persists"
"photon","photon"
"publish","published, publishing"
"regard","regard, regarded, regarding"
"spect","spect"
"strateg","strategic"
"analys","analyse, analysed, analyses"
"artifici","artificial"
"caudat","caudate"
"compens","compensate, compensated, compensating, compensation"
"compris","comprise, comprised, comprises, comprising"
"creat","create, created, creating"
"factori","factorial"
"global_",""
"grey","grey"
"interest","interestingly"
"main","main, mainly"
"methodolog","methodological, methodologies, methodology"
"nativ","native"
"pole","pole, poles"
"preliminari","preliminary"
"schizophren","schizophrenic"
"schizophrenia","schizophrenia"
"segment","segment, segmentation, segmented, segments"
"space","space"
"stereotact","stereotactic"
"throughout","throughout"
"total","total"
"transform","transform, transformation, transformations, transformed"
"voxel","voxel, voxels"
"conting","contingencies, contingency, contingent"
"coordin","coordinate, coordinated, coordinates, coordination"
"covari","covariance, covariate, covariates, covariation, covaried, covary, covarying"
"expos","exposed"
"frequenc","frequencies, frequency"
"impli","implied, implies, imply, implying"
"intern","internal, internally, international"
"lead","lead, leading, leads"
"occipitotempor","occipitotemporal"
"percept","percept, perception, perceptions, percepts"
"perceptu","perceptual, perceptually"
"plan","plan, planned, planning, plans"
"remain","remain, remained, remaining, remains"
"sensori","sensory"
"strength","strength, strengths"
"subjected","subjecteded"
"unclear","unclear"
"voluntari","voluntary"
"aris","arise, arises, arising"
"broader","broader"
"capac","capacities, capacity"
"characterist","characteristic, characteristics"
"constraint","constraint, constraints"
"continu","continue, continued, continues, continuous, continuously"
"current","current, currently"
"exclus","exclusion, exclusive, exclusively"
"explain","explain, explained, explaining, explains"
"handl",""
"invert","inverted"
"load","load, loads"
"lobul","lobule, lobules"
"loci","loci"
"lowest","lowest"
"miss","missed, missing"
"node","node, nodes"
"outsid","outside"
"plateau",""
"premotor","premotor"
"putat","putative, putatively"
"shape","shape, shaped, shapes, shaping"
"ultim","ultimately"
"abl","able"
"achiev","achieve, achieved, achievement, achieving"
"acoust","acoustic, acoustically"
"arbitrari","arbitrary"
"calcarin","calcarine"
"close","close, closed, closely"
"code","code, coded, codes, coding"
"constant","constant, constantly"
"distinguish","distinguish, distinguishable, distinguished, distinguishes, distinguishing"
"elicit","elicit, elicited, eliciting, elicits"
"exploit","exploit, exploiting"
"final","final, finally"
"finger","finger, fingers"
"flexion","flexion"
"frontopariet","frontoparietal"
"haemodynam","haemodynamic"
"index","index, indexed, indexes"
"instruct","instructed, instruction, instructions"
"phase","phase, phases"
"preced","precede, preceded, precedes, preceding"
"preparatori","preparatory"
"proxim","proximal, proximity"
"reli","relied, relies, rely, relying"
"sensorimotor","sensorimotor"
"stream","stream, streams"
"sustain","sustain, sustained, sustaining"
"systemat","systematic, systematically"
"told","told"
"trigger","trigger, triggered, triggering, triggers"
"under","underlies, underlying"
"contralater","contralateral"
"contrari","contrary"
"ear","ear"
"element","element, elements"
"gain","gain, gained, gaining, gains"
"genicul","geniculate"
"maxim","maximal, maximally, maximize"
"midbrain","midbrain"
"pontin","pontine"
"potent","potent"
"wave","wave"
"deactiv","deactivate, deactivated, deactivation, deactivations"
"drink","drinking"
"gray","gray"
"infus","infusion"
"moder","moderate, moderated, moderately"
"parahippocamp","parahippocampal"
"periaqueduct","periaqueductal"
"plasma","plasma"
"salin","saline"
"satiat",""
"strongest","strongest"
"asymmetri","asymmetries, asymmetry"
"bilingu","bilingual, bilinguals"
"childhood","childhood"
"count","count, counting"
"disput",""
"english","english"
"exceed","exceeded"
"fixat","fixation"
"fluent","fluent"
"hand","hand, handed, hands"
"irrespect","irrespective"
"languag","language, languages"
"late","late"
"magnitud","magnitude, magnitudes"
"peak","peak, peaked, peaking, peaks"
"supplementari","supplementary"
"assay",""
"atlas","atlas"
"greater",""
"maxima","maxima"
"sii","sii"
"common","common, commonalities, commonly"
"featur","feature, features, featuring"
"hallucin","hallucinations"
"heschl","heschl"
"ill","ill, illness, illnesses"
"intrigu","intriguing"
"mental","mental, mentalizing, mentally"
"monitor","monitor, monitored, monitoring"
"psychopatholog","psychopathological, psychopathology"
"restrict","restricted"
"session","session, sessions"
"sourc","source, sources"
"exploratori","exploratory"
"fast","fast"
"feed",""
"format","format, formation"
"foundat","foundation"
"free","free"
"hippocamp","hippocampal"
"hunger","hunger"
"hypothalamus","hypothalamus"
"inappropri","inappropriate"
"inhibit","inhibit, inhibited, inhibiting, inhibition"
"insular","insular"
"limbic","limbic"
"men",""
"metabol","metabolic, metabolism"
"modul","modulate, modulated, modulates, modulating, modulation, modulations, modulator"
"negat","negative, negatively, negativity"
"origin","origin, original, originally, originate, originating, origins"
"paralimb","paralimbic"
"particip","participant, participants, participate, participated, participates, participating, participation"
"positiv","positiveive"
"putamen","putamen"
"regul","regulate, regulated, regulates, regulating, regulation"
"state",""
"tendenc","tendencies, tendency"
"ventromedi","ventromedial"
"vicin","vicinity"
"weight","weight, weighted, weighting, weights"
"card","card"
"choic","choice, choices"
"color","color, colored, colors"
"deal","deal, dealing"
"extens","extension, extensive, extensively"
"guess",""
"outcom","outcome, outcomes"
"play","play, played, playing, plays"
"probabilist","probabilistic"
"suit","suited"
"uncertainti","uncertainty"
"accuraci","accuracy"
"converg","converge, converged, convergence, convergent, converging"
"discret","discrete"
"foci","foci"
"pace","paced, pacing"
"program","program, programming, programs"
"sequenti","sequential, sequentially"
"slower","slower"
"tap","tap, tapping"
"thumb","thumb"
"accompani","accompanied, accompany, accompanying"
"attenu","attenuate, attenuated, attenuation"
"connect","connect, connected, connecting, connection, connections, connectivities, connectivity"
"entir","entire, entirely"
"episod","episode, episodes, episodic"
"equat","equated, equation, equations"
"fronto","fronto"
"grammar","grammar"
"influenc","influence, influenced, influences, influencing"
"inter","inter"
"path","path, paths"
"pfc","pfc"
"progress","progress, progression, progressive, progressively"
"rule","rule, rules"
"ancova",""
"articul","articulation"
"begin","begin, beginning"
"decid","decide, decided, deciding"
"decis","decision, decisions"
"demograph","demographic, demographically"
"entail","entail, entails"
"fix","fixed"
"fluenci","fluency"
"intrins","intrinsic, intrinsically"
"letter","letter, letters"
"linguist","linguistic, linguistically"
"live","live, lives, living"
"male","male, males"
"mean","mean, meaning, meanings, means"
"reduc","reduce, reduced, reduces, reducing"
"rest","rest, rested, resting"
"silent","silent, silently"
"variabl","variability, variable, variables"
"way",""
"enhanc","enhance, enhanced, enhancement, enhancements, enhances, enhancing"
"experienc","experienced, experiencing"
"familiar","familiar, familiarity"
"opposit","opposite"
"phenomenolog",""
"recogn","recognize, recognized, recognizing"
"recollect","recollected, recollection"
"rememb","remember, remembered, remembering"
"subsequ","subsequent, subsequently"
"unresolv","unresolved"
"unstudi","unstudied"
"adult","adult, adults"
"alloc","allocated, allocation"
"argu","argue, argued, argues"
"background","background"
"believ","believe, believed"
"belong","belong, belonging"
"cerebrum","cerebrum"
"circuit","circuit, circuits"
"coupl","coupled, coupling"
"cross","cross, crossed"
"emphas","emphasize, emphasized, emphasizes, emphasizing"
"goal","goal, goals"
"impuls","impulse, impulsive, impulsiveness, impulsivity"
"interregion","interregional"
"modifi","modified, modify, modifying"
"modules","moduleses"
"orient","orientation, orientations, oriented, orienting"
"portion","portion, portions"
"position","positiones"
"presenc","presence"
"proper","proper"
"recept","receptive"
"resourc","resource, resources"
"rostral","rostral"
"stroop","stroop"
"talk",""
"topograph","topographic, topographical, topographically"
"topographi","topography"
"tune","tuned, tuning"
"vigil","vigilance"
"critic","critical, critically"
"draw","draw, drawing, drawings, draws"
"facilit","facilitate, facilitated, facilitates, facilitating, facilitation"
"fruit",""
"identif","identification"
"man",""
"reason","reason, reasoning, reasons"
"remark","remarkable, remarkably"
"segreg","segregated, segregation"
"act","act, acted, acting, acts"
"domin","dominance, dominant, dominated"
"durat","duration, durations"
"environ","environment, environments"
"focus","focus, focused, focuses, focusing"
"inhibitori","inhibitory"
"ongo","ongoing"
"sort","sorting"
"true","true"
"unknown","unknown"
"wisconsin","wisconsin"
"equival","equivalent"
"head","head"
"mediodors","mediodorsal"
"occipit","occipital"
"underpin","underpin, underpinned, underpinning, underpinnings"
"adhd","adhd"
"core","core"
"fail","fail, failed"
"frontostriat","frontostriatal"
"hyperact","hyperactivity"
"hypoact","hypoactive, hypoactivity"
"hypothes","hypotheses, hypothesize, hypothesized"
"inattent","inattention"
"poor","poor, poorly"
"unmed","unmedicated"
"variant","variant, variants"
"adopt","adopt, adopted, adopting"
"autism","autism"
"autist","autistic"
"distinct","distinct, distinction, distinctions, distinctive, distinctly"
"embed","embedded"
"figur","figurative, figure, figures"
"invok","invoked"
"majority","majorityity"
"peopl","people"
"predisposition","predispositiones"
"search","search, searched, searching"
