,pubmed,title,authors,year,journal
12,9593960,Functional magnetic resonance imaging of category-specific cortical activation: evidence for semantic maps.,"Spitzer M, Kischka U, Guckel F, Bellemann ME, Kammer T, Seyyedi S, Weisbrod M, Schwartz A, Brix G",1998,Brain research. Cognitive brain research
13,9620697,Hemispheric specialization in human dorsal frontal cortex and medial temporal lobe for verbal and nonverbal memory encoding.,"Kelley WM, Miezin FM, McDermott KB, Buckner RL, Raichle ME, Cohen NJ, Ollinger JM, Akbudak E, Conturo TE, Snyder AZ, Petersen SE",1998,Neuron
14,9620698,Human amygdala activation during conditioned fear acquisition and extinction: a mixed-trial fMRI study.,"LaBar KS, Gatenby JC, Gore JC, LeDoux JE, Phelps EA",1998,Neuron
15,9620699,Brain systems mediating aversive conditioning: an event-related fMRI study.,"Buchel C, Morris J, Dolan RJ, Friston KJ",1998,Neuron
16,9636217,Functional organization of spatial and nonspatial working memory processing within the human lateral frontal cortex.,"Owen AM, Stern CE, Look RB, Tracey I, Rosen BR, Petrides M",1998,Proceedings of the National Academy of Sciences of the United States of America
17,9714705,Functional MRI studies of spatial and nonspatial working memory.,"D'Esposito M, Aguirre GK, Zarahn E, Ballard D, Shin RK, Lease J",1998,Brain research. Cognitive brain research
18,9770542,Neural systems underlying learning and representation of global motion.,"Vaina LM, Belliveau JW, des Roziers EB, Zeffiro TA",1998,Proceedings of the National Academy of Sciences of the United States of America
19,9787003,A specific role for the thalamus in mediating the interaction of attention and arousal in humans.,"Portas CM, Rees G, Howseman AM, Josephs O, Turner R, Frith CD",1998,The Journal of neuroscience : the official journal of the Society for Neuroscience
20,9808463,A common network of functional areas for attention and eye movements.,"Corbetta M, Akbudak E, Conturo TE, Snyder AZ, Ollinger JM, Drury HA, Linenweber MR, Petersen SE, Raichle ME, Van Essen DC, Shulman GL",1998,Neuron
21,9838166,Dynamic pattern of brain activation during sequencing of word strings evaluated by fMRI.,"Wildgruber D, Kischka U, Ackermann H, Klose U, Grodd W",1999,Brain research. Cognitive brain research
22,9886448,Neuropsychological correlates of a right unilateral lacunar thalamic infarction.,"Van Der Werf YD, Weerts JG, Jolles J, Witter MP, Lindeboom J, Scheltens P",1999,"Journal of neurology, neurosurgery, and psychiatry"
23,9988836,Mapping of grey matter changes in schizophrenia.,"Wright IC, Ellison ZR, Sharma T, Friston KJ, Murray RM, McGuire PK",1999,Schizophrenia research
24,9990082,Covariation of activity in visual and prefrontal cortex associated with subjective visual perception.,"Lumer ED, Rees G",1999,Proceedings of the National Academy of Sciences of the United States of America
25,10022492,Physiological characteristics of capacity constraints in working memory as revealed by functional MRI.,"Callicott JH, Mattay VS, Bertolino A, Finn K, Coppola R, Frank JA, Goldberg TE, Weinberger DR",1999,"Cerebral cortex (New York, N.Y. : 1991)"
26,10022494,"Signal-, set- and movement-related activity in the human brain: an event-related  fMRI study.","Toni I, Schluter ND, Josephs O, Friston K, Passingham RE",1999,"Cerebral cortex (New York, N.Y. : 1991)"
27,10022496,The functional anatomy of the normal human auditory system: responses to 0.5 and  4.0 kHz tones at varied intensities.,"Lockwood AH, Salvi RJ, Coad ML, Arnold SA, Wack DS, Murphy BW, Burkard RF",1999,"Cerebral cortex (New York, N.Y. : 1991)"
28,10051677,Correlation of regional cerebral blood flow and change of plasma sodium concentration during genesis and satiation of thirst.,"Denton D, Shade R, Zamarippa F, Egan G, Blair-West J, McKinley M, Fox P",1999,Proceedings of the National Academy of Sciences of the United States of America
29,10191322,Mandarin and English single word processing studied with functional magnetic resonance imaging.,"Chee MW, Tan EW, Thiel T",1999,The Journal of neuroscience : the official journal of the Society for Neuroscience
30,10196461,Mapping of secondary somatosensory cortex activation induced by vibrational stimulation: an fMRI study.,"Maldjian JA, Gottschalk A, Patel RS, Pincus D, Detre JA, Alsop DC",1999,Brain research
31,10197540,Activation of Heschl's gyrus during auditory hallucinations.,"Dierks T, Linden DE, Jandl M, Formisano E, Goebel R, Lanfermann H, Singer W",1999,Neuron
32,10200303,Neuroanatomical correlates of hunger and satiation in humans using positron emission tomography.,"Tataranni PA, Gautier JF, Chen K, Uecker A, Bandy D, Salbe AD, Pratley RE, Lawson M, Reiman EM, Ravussin E",1999,Proceedings of the National Academy of Sciences of the United States of America
33,10215087,Ventromedial prefrontal cortex mediates guessing.,"Elliott R, Rees G, Dolan RJ",1999,Neuropsychologia
34,10216270,Frontal cortex and the programming of repetitive tapping movements in man: lesion effects and functional neuroimaging.,"Lepage M, Beaudoin G, Boulet C, O'Brien I, Marcantoni W, Bourgouin P, Richer F",1999,Brain research. Cognitive brain research
35,10220229,Learning-related neuronal responses in prefrontal cortex studied with functional  neuroimaging.,"Fletcher P, Buchel C, Josephs O, Friston K, Dolan R",1999,"Cerebral cortex (New York, N.Y. : 1991)"
36,10227106,Attenuated frontal activation in schizophrenia may be task dependent.,"Curtis VA, Bullmore ET, Morris RG, Brammer MJ, Williams SC, Simmons A, Sharma T, Murray RM, McGuire PK",1999,Schizophrenia research
37,10234026,Recollection and familiarity in recognition memory: an event-related functional magnetic resonance imaging study.,"Henson RN, Rugg MD, Shallice T, Josephs O, Dolan RJ",1999,The Journal of neuroscience : the official journal of the Society for Neuroscience
38,10349031,An fMRI study of Stroop word-color interference: evidence for cingulate subregions subserving multiple distributed attentional systems.,"Peterson BS, Skudlarski P, Gatenby JC, Zhang H, Anderson AW, Gore JC",1999,Biological psychiatry
39,10355678,A functional neuroimaging study of the variables that generate category-specific  object processing differences.,"Moore CJ, Price CJ",1999,Brain : a journal of neurology
40,10355680,Common inhibitory mechanism in human inferior prefrontal cortex revealed by event-related functional MRI.,"Konishi S, Nakajima K, Uchida I, Kikyo H, Kameyama M, Miyashita Y",1999,Brain : a journal of neurology
41,10366639,Differential neural responses during performance of matching and nonmatching to sample tasks at two delay intervals.,"Elliott R, Dolan RJ",1999,The Journal of neuroscience : the official journal of the Society for Neuroscience
42,10376114,Anterior cingulate cortex dysfunction in attention-deficit/hyperactivity disorder revealed by fMRI and the Counting Stroop.,"Bush G, Frazier JA, Rauch SL, Seidman LJ, Whalen PJ, Jenike MA, Rosen BR, Biederman J",1999,Biological psychiatry
43,10388796,Cerebral correlates of preserved cognitive skills in autism: a functional MRI study of embedded figures task performance.,"Ring HA, Baron-Cohen S, Wheelwright S, Williams SC, Brammer M, Andrew C, Bullmore ET",1999,Brain : a journal of neurology
44,10388797,Semantic integration in reading: engagement of the right hemisphere during discourse processing.,"St George M, Kutas M, Martinez A, Sereno MI",1999,Brain : a journal of neurology
45,10388802,Right prefrontal cortex and episodic memory retrieval: a functional MRI test of the monitoring hypothesis.,"Henson RN, Shallice T, Dolan RJ",1999,Brain : a journal of neurology
46,10390028,A neural basis for category and modality specificity of semantic knowledge.,"Thompson-Schill SL, Aguirre GK, D'Esposito M, Farah MJ",1999,Neuropsychologia
47,10400241,Motivation effects in a dichotic listening task as evident from functional magnetic resonance imaging in human subjects.,"Larisch R, Kotter R, Kehren F, Tosch M, Shah NJ, Kalveram KT, Jancke L, Muller-Gartner HW",1999,Neuroscience letters
48,10402199,Processing of visually presented sentences in Mandarin and English studied with fMRI.,"Chee MW, Caplan D, Soon CS, Sriram N, Tan EW, Thiel T, Weekes B",1999,Neuron
49,10407201,The time course of the BOLD response in the human auditory cortex to acoustic stimuli of different duration.,"Jancke L, Buchanan T, Lutz K, Specht K, Mirzazade S, Shah NJ",1999,Brain research. Cognitive brain research
50,10426417,The functional neuroanatomy of novelty processing: integrating ERP and fMRI results.,"Opitz B, Mecklinger A, Friederici AD, von Cramon DY",1999,"Cerebral cortex (New York, N.Y. : 1991)"
51,10430951,Distributed representation of objects in the human ventral visual pathway.,"Ishai A, Ungerleider LG, Martin A, Schouten JL, Haxby JV",1999,Proceedings of the National Academy of Sciences of the United States of America
52,10430955,Linear coupling between cerebral blood flow and oxygen consumption in activated human cortex.,"Hoge RD, Atkinson J, Gill B, Crelier GR, Marrett S, Pike GB",1999,Proceedings of the National Academy of Sciences of the United States of America
53,10450888,Electrophysiological studies of human face perception. I: Potentials generated in occipitotemporal cortex by face and non-face stimuli.,"Allison T, Puce A, Spencer DD, McCarthy G",1999,"Cerebral cortex (New York, N.Y. : 1991)"
54,10450889,Electrophysiological studies of human face perception. II: Response properties of face-specific potentials generated in occipitotemporal cortex.,"McCarthy G, Puce A, Belger A, Allison T",1999,"Cerebral cortex (New York, N.Y. : 1991)"
55,10498282,Coexistence of widespread clones and large radial clones in early embryonic ferret cortex.,"Ware ML, Tavazoie SF, Reid CB, Walsh CA",1999,"Cerebral cortex (New York, N.Y. : 1991)"
56,10506099,Brain structures related to active and passive finger movements in man.,"Mima T, Sadato N, Yazawa S, Hanakawa T, Fukuyama H, Yonekura Y, Shibasaki H",1999,Brain : a journal of neurology
57,10531451,Areas involved in encoding and applying directional expectations to moving objects.,"Shulman GL, Ollinger JM, Akbudak E, Conturo TE, Snyder AZ, Petersen SE, Corbetta M",1999,The Journal of neuroscience : the official journal of the Society for Neuroscience
58,10545400,Perceptual differentiation and category effects in normal object recognition: a PET study.,"Gerlach C, Law I, Gade A, Paulson OB",1999,Brain : a journal of neurology
59,10554989,Tactile attention tasks enhance activation in somatosensory regions of parietal cortex: a positron emission tomography study.,"Burton H, Abend NS, MacLeod AM, Sinclair RJ, Snyder AZ, Raichle ME",1999,"Cerebral cortex (New York, N.Y. : 1991)"
60,10554992,When that tune runs through your head: a PET investigation of auditory imagery for familiar melodies.,"Halpern AR, Zatorre RJ",1999,"Cerebral cortex (New York, N.Y. : 1991)"
61,10554993,An anatomical landmark for the supplementary eye fields in human revealed with functional magnetic resonance imaging.,"Grosbras MH, Lobel E, Van de Moortele PF, LeBihan D, Berthoz A",1999,"Cerebral cortex (New York, N.Y. : 1991)"
62,10559415,Neural representation of a rhythm depends on its interval ratio.,"Sakai K, Hikosaka O, Miyauchi S, Takino R, Tamada T, Iwata NK, Nielsen M",1999,The Journal of neuroscience : the official journal of the Society for Neuroscience
63,10571235,Form and content: dissociating syntax and semantics in sentence comprehension.,"Dapretto M, Bookheimer SY",1999,Neuron
64,10586971,The role of the posterior parietal cortex in human object recognition: a functional magnetic resonance imaging study.,"Sugio T, Inui T, Matsuo K, Matsuzawa M, Glover GH, Nakai T",1999,Neuroscience letters
65,10594068,Amygdala-hippocampal involvement in human aversive trace conditioning revealed through event-related functional magnetic resonance imaging.,"Buchel C, Dolan RJ, Armony JL, Friston KJ",1999,The Journal of neuroscience : the official journal of the Society for Neuroscience
66,10600999,The effects of age on the neural correlates of episodic encoding.,"Grady CL, McIntosh AR, Rajah MN, Beig S, Craik FI",1999,"Cerebral cortex (New York, N.Y. : 1991)"
67,10601675,Parietal and cingulate processes in central pain. A combined positron emission tomography (PET) and functional magnetic resonance imaging (fMRI) study of an unusual case.,"Peyron R, Garcia-Larrea L, Gregoire MC, Convers P, Richard A, Lavenne F, Barral FG, Mauguiere F, Michel D, Laurent B",2000,Pain
68,10617288,Reading the mind in cartoons and stories: an fMRI study of 'theory of mind' in verbal and nonverbal tasks.,"Gallagher HL, Happe F, Brunswick N, Fletcher PC, Frith U, Frith CD",2000,Neuropsychologia
69,10618448,Prefrontal cortex and episodic memory retrieval mode.,"Lepage M, Ghaffar O, Nyberg L, Tulving E",2000,Proceedings of the National Academy of Sciences of the United States of America
70,10624956,Human cortical regions involved in extracting depth from motion.,"Orban GA, Sunaert S, Todd JT, Van Hecke P, Marchal G",1999,Neuron
71,10632617,Neural systems underlying the recognition of familiar and newly learned faces.,"Leveroni CL, Seidenberg M, Mayer AR, Mead LA, Binder JR, Rao SM",2000,The Journal of neuroscience : the official journal of the Society for Neuroscience
72,10639391,Visual function and brain organization in non-decussating retinal-fugal fibre syndrome.,"Victor JD, Apkarian P, Hirsch J, Conte MM, Packard M, Relkin NR, Kim KH, Shapley RM",2000,"Cerebral cortex (New York, N.Y. : 1991)"
73,10639399,Functional dissociation between medial and lateral prefrontal cortical spatiotemporal activation in negative and positive emotions: a combined fMRI/MEG  study.,"Northoff G, Richter A, Gessner M, Schlagenhauf F, Fell J, Baumgart F, Kaulisch T, Kotter R, Stephan KE, Leschinger A, Hagner T, Bargel B, Witzel T, Hinrichs H, Bogerts B, Scheich H, Heinze HJ",2000,"Cerebral cortex (New York, N.Y. : 1991)"
74,10643727,Event-related fMRI: comparison of conditions with varying BOLD overlap.,"Pollmann S, Dove A, Yves von Cramon D, Wiggins CJ",2000,Human brain mapping
75,10648437,The visual word form area: spatial and temporal characterization of an initial stage of reading in normal subjects and posterior split-brain patients.,"Cohen L, Dehaene S, Naccache L, Lehericy S, Dehaene-Lambertz G, Henaff MA, Michel F",2000,Brain : a journal of neurology
76,10648440,"Rapid eye movement sleep behaviour disorder: demographic, clinical and laboratory findings in 93 cases.","Olson EJ, Boeve BF, Silber MH",2000,Brain : a journal of neurology
77,10656524,Systematic approach to dipole localization of interictal EEG spikes in children with extratemporal lobe epilepsies.,"Ochi A, Otsubo H, Shirasawa A, Hunjan A, Sharma R, Bettings M, Rutka JT, Kamijo K, Yamazaki T, Wilson SB, Snead OC 3rd",2000,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology
78,10664825,SPECT [I-123]iomazenil measurement of the benzodiazepine receptor in panic disorder.,"Bremner JD, Innis RB, White T, Fujita M, Silbersweig D, Goddard AW, Staib L, Stern E, Cappiello A, Woods S, Baldwin R, Charney DS",2000,Biological psychiatry
79,10666552,Replication and further studies of neural mechanisms of spatial mnemonic processing in humans.,"Zarahn E, Aguirre G, D'Esposito M",2000,Brain research. Cognitive brain research
80,10666559,Functional asymmetry of human prefrontal cortex in verbal and non-verbal episodic memory as revealed by fMRI.,"Iidaka T, Sadato N, Yamada H, Yonekura Y",2000,Brain research. Cognitive brain research
81,10666562,Prefrontal cortex activation in task switching: an event-related fMRI study.,"Dove A, Pollmann S, Schubert T, Wiggins CJ, von Cramon DY",2000,Brain research. Cognitive brain research
82,10678698,The calculating brain: an fMRI study.,"Rickard TC, Romero SG, Basso G, Wharton C, Flitman S, Grafman J",2000,Neuropsychologia
83,10680764,Human brain areas involved in the analysis of auditory movement.,"Griffiths TD, Green GG, Rees A, Rees G",2000,Human brain mapping
84,10683392,A comparison of egocentric and allocentric spatial memory in a patient with selective hippocampal damage.,"Holdstock JS, Mayes AR, Cezayirli E, Isaac CL, Aggleton JP, Roberts N",2000,Neuropsychologia
85,10683393,"Recoding, storage, rehearsal and grouping in verbal short-term memory: an fMRI study.","Henson RN, Burgess N, Frith CD",2000,Neuropsychologia
86,10683398,Acquisition of novel semantic information in amnesia: effects of lesion location.,"Verfaellie M, Koseff P, Alexander MP",2000,Neuropsychologia
87,10684898,Conscious and unconscious processing of nonverbal predictability in Wernicke's area.,"Bischoff-Grethe A, Proper SM, Mao H, Daniels KA, Berns GS",2000,The Journal of neuroscience : the official journal of the Society for Neuroscience
88,10686176,The neural correlates of 'deaf-hearing' in man: conscious sensory awareness enabled by attentional modulation.,"Engelien A, Huber W, Silbersweig D, Stern E, Frith CD, Doring W, Thron A, Frackowiak RS",2000,Brain : a journal of neurology
89,10686183,Functional MRI evidence for a role of frontal and inferior temporal cortex in amodal components of priming.,"Buckner RL, Koutstaal W, Schacter DL, Rosen BR",2000,Brain : a journal of neurology
90,10689056,Orienting attention in time: behavioural and neuroanatomical distinction between  exogenous and endogenous shifts.,"Coull JT, Frith CD, Buchel C, Nobre AC",2000,Neuropsychologia
91,10717412,Neural substrates for depth perception of the Necker cube; a functional magnetic  resonance imaging study in human subjects.,"Inui T, Tanaka S, Okada T, Nishizawa S, Katayama M, Konishi J",2000,Neuroscience letters
92,10725372,A resource model of the neural basis of executive working memory.,"Bunge SA, Klingberg T, Jacobsen RB, Gabrieli JD",2000,Proceedings of the National Academy of Sciences of the United States of America
93,10729350,What and when: parallel and convergent processing in motor control.,"Sakai K, Hikosaka O, Takino R, Miyauchi S, Nielsen M, Tamada T",2000,The Journal of neuroscience : the official journal of the Society for Neuroscience
94,10731218,The anatomical connections of the macaque monkey orbitofrontal cortex. A review.,"Cavada C, Company T, Tejedor J, Cruz-Rizzolo RJ, Reinoso-Suarez F",2000,"Cerebral cortex (New York, N.Y. : 1991)"
95,10734010,Essential role of the right superior parietal cortex in Japanese kana mirror reading: An fMRI study.,"Dong Y, Fukuyama H, Honda M, Okada T, Hanakawa T, Nakamura K, Nagahama Y, Nagamine T, Konishi J, Shibasaki H",2000,Brain : a journal of neurology
96,10751455,Neural activity relating to generation and representation of galvanic skin conductance responses: a functional magnetic resonance imaging study.,"Critchley HD, Elliott R, Mathias CJ, Dolan RJ",2000,The Journal of neuroscience : the official journal of the Society for Neuroscience
97,10769249,Cortical connections of the insular and adjacent parieto-temporal fields in the cat.,"Clasca F, Llamas A, Reinoso-Suarez F",2000,"Cerebral cortex (New York, N.Y. : 1991)"
98,10774738,A stimulus-driven approach to object identity and location processing in the human brain.,"Marois R, Leung HC, Gore JC",2000,Neuron
99,10775534,Progressive supranuclear palsy pathology caused by a novel silent mutation in exon 10 of the tau gene: expansion of the disease phenotype caused by tau gene mutations.,"Stanford PM, Halliday GM, Brooks WS, Kwok JB, Storey CE, Creasey H, Morris JG, Fulham MJ, Schofield PR",2000,Brain : a journal of neurology
100,10775536,Clinical and molecular genetic characteristics of patients with cerebrotendinous  xanthomatosis.,"Verrips A, Hoefsloot LH, Steenbergen GC, Theelen JP, Wevers RA, Gabreels FJ, van Engelen BG, van den Heuvel LP",2000,Brain : a journal of neurology
101,10775540,Participation of the left posterior inferior temporal cortex in writing and mental recall of kanji orthography: A functional MRI study.,"Nakamura K, Honda M, Okada T, Hanakawa T, Toma K, Fukuyama H, Konishi J, Shibasaki H",2000,Brain : a journal of neurology
102,10792453,Differential amygdala responses to winning and losing: a functional magnetic resonance imaging study in humans.,"Zalla T, Koechlin E, Pietrini P, Basso G, Aquino P, Sirigu A, Grafman J",2000,The European journal of neuroscience
103,10808134,Recognition of emotional prosody and verbal components of spoken language: an fMRI study.,"Buchanan TW, Lutz K, Mirzazade S, Specht K, Shah NJ, Zilles K, Jancke L",2000,Brain research. Cognitive brain research
104,10838149,Cortical activity during rotational and linear transformations.,"Barnes J, Howard RJ, Senior C, Brammer M, Bullmore ET, Simmons A, Woodruff P, David AS",2000,Neuropsychologia
105,10847597,Matching two imagined clocks: the functional anatomy of spatial analysis in the absence of visual stimulation.,"Trojano L, Grossi D, Linden DE, Formisano E, Hacker H, Zanella FE, Goebel R, Di Salle F",2000,"Cerebral cortex (New York, N.Y. : 1991)"
106,10852964,Dissociating the role of the medial and lateral anterior prefrontal cortex in human planning.,"Koechlin E, Corrado G, Pietrini P, Grafman J",2000,Proceedings of the National Academy of Sciences of the United States of America
107,10858628,Reduced anterior cingulate gyrus volume correlates with executive dysfunction in  men with first-episode schizophrenia.,"Szeszko PR, Bilder RM, Lencz T, Ashtari M, Goldman RS, Reiter G, Wu H, Lieberman JA",2000,Schizophrenia research
108,10859133,An event-related functional MRI study of the stroop color word interference task.,"Leung HC, Skudlarski P, Gatenby JC, Peterson BS, Gore JC",2000,"Cerebral cortex (New York, N.Y. : 1991)"
109,10859136,A parametric manipulation of central executive functioning.,"Garavan H, Ross TJ, Li SJ, Stein EA",2000,"Cerebral cortex (New York, N.Y. : 1991)"
110,10861020,Attentional modulation of effective connectivity from V2 to V5/MT in humans.,"Friston KJ, Buchel C",2000,Proceedings of the National Academy of Sciences of the United States of America
111,10863028,Hemispheric lateralization at different levels of human auditory word processing: a functional magnetic resonance imaging study.,"Zahn R, Huber W, Drews E, Erberich S, Krings T, Willmes K, Schwarz M",2000,Neuroscience letters
112,10864232,Hemispheric preference in visuospatial processing: a complementary approach with  fMRI and lesion studies.,"Ng VW, Eslinger PJ, Williams SC, Brammer MJ, Bullmore ET, Andrew CM, Suckling J, Morris RG, Benton AL",2000,Human brain mapping
113,10865104,Motor response suppression and the prepotent tendency to respond: a parametric fMRI study.,"de Zubicaray GI, Andrew C, Zelaya FO, Williams SC, Dumanoir C",2000,Neuropsychologia
114,10865105,"Cerebral regions associated with verbal response initiation, suppression and strategy use.","de Zubicaray GI, Zelaya FO, Andrew C, Williams SC, Bullmore ET",2000,Neuropsychologia
115,10865107,Hemispheric asymmetries and individual differences in visual concept learning as  measured by functional MRI.,"Seger CA, Poldrack RA, Prabhakaran V, Zhao M, Glover GH, Gabrieli JD",2000,Neuropsychologia
116,10867223,Longitudinal effects of estrogen replacement therapy on PET cerebral blood flow and cognition.,"Maki PM, Resnick SM",2000,Neurobiology of aging
117,10869575,Interhemispheric transfer of language in patients with left frontal cerebral arteriovenous malformation.,"Lazar RM, Marshall RS, Pile-Spellman J, Duong HC, Mohr JP, Young WL, Solomon RL, Perera GM, DeLaPaz RL",2000,Neuropsychologia
118,10900023,"Dissociation of response conflict, attentional selection, and expectancy with functional magnetic resonance imaging.","Casey BJ, Thomas KM, Welsh TF, Badgaiyan RD, Eccard CH, Jennings JR, Crone EA",2000,Proceedings of the National Academy of Sciences of the United States of America
119,10906316,Segregating semantic and syntactic aspects of processing in the human brain: an fMRI investigation of different word types.,"Friederici AD, Opitz B, von Cramon DY",2000,"Cerebral cortex (New York, N.Y. : 1991)"
120,10906317,Maintaining and shifting attention within left or right hemifield.,"Vandenberghe R, Duncan J, Arnell KM, Bishop SJ, Herrod NJ, Owen AM, Minhas PS, Dupont P, Pickard JD, Orban GA",2000,"Cerebral cortex (New York, N.Y. : 1991)"
121,10908189,Auditory processing in the vegetative state.,"Laureys S, Faymonville ME, Degueldre C, Fiore GD, Damas P, Lambermont B, Janssens N, Aerts J, Franck G, Luxen A, Moonen G, Lamy M, Maquet P",2000,Brain : a journal of neurology
122,10908192,Unconscious activation of visual cortex in the damaged right hemisphere of a parietal patient with extinction.,"Rees G, Wojciulik E, Clarke K, Husain M, Frith C, Driver J",2000,Brain : a journal of neurology
123,10908201,Episodic memory in left temporal lobe epilepsy: a functional MRI study.,"Dupont S, Van de Moortele PF, Samson S, Hasboun D, Poline JB, Adam C, Lehericy S, Le Bihan D, Samson Y, Baulac M",2000,Brain : a journal of neurology
124,10912589,Comparison of rhyming and word generation with FMRI.,"Lurito JT, Kareken DA, Lowe MJ, Chen SH, Mathews VP",2000,Human brain mapping
125,10912590,Modulation and task effects in auditory processing measured using fMRI.,"Hall DA, Haggard MP, Akeroyd MA, Summerfield AQ, Palmer AR, Elliott MR, Bowtell RW",2000,Human brain mapping
126,10913505,Differential limbic--cortical correlates of sadness and anxiety in healthy subjects: implications for affective disorders.,"Liotti M, Mayberg HS, Brannan SK, McGinnis S, Jerabek P, Fox PT",2000,Biological psychiatry
127,10920049,Visual perception of motion and 3-D structure from motion: an fMRI study.,"Paradis AL, Cornilleau-Peres V, Droulez J, Van De Moortele PF, Lobel E, Berthoz A, Le Bihan D, Poline JB",2000,"Cerebral cortex (New York, N.Y. : 1991)"
128,10978692,Cortical activations during paced finger-tapping applying visual and auditory pacing stimuli.,"Jancke L, Loose R, Lutz K, Specht K, Shah NJ",2000,Brain research. Cognitive brain research
129,10978708,Modulation of task-related neural activity in task-switching: an fMRI study.,"Kimberg DY, Aguirre GK, D'Esposito M",2000,Brain research. Cognitive brain research
130,10978709,fMRI evidence of age-related hippocampal dysfunction in feature binding in working memory.,"Mitchell KJ, Johnson MK, Raye CL, D'Esposito M",2000,Brain research. Cognitive brain research
131,10978720,Magnetic resonance spectroscopy in schizophrenia: methodological issues and findings--part II.,"Keshavan MS, Stanley JA, Pettegrew JW",2000,Biological psychiatry
132,10982747,Sex differences in lateralization revealed in the posterior language areas.,"Kansaku K, Yamaura A, Kitazawa S",2000,"Cerebral cortex (New York, N.Y. : 1991)"
133,10982748,A comparison of visual and auditory motion processing in human cerebral cortex.,"Lewis JW, Beauchamp MS, DeYoe EA",2000,"Cerebral cortex (New York, N.Y. : 1991)"
134,10982749,Working memory of auditory localization.,"Martinkauppi S, Rama P, Aronen HJ, Korvenoja A, Carlson S",2000,"Cerebral cortex (New York, N.Y. : 1991)"
135,11004124,Musical hallucinosis in acquired deafness. Phenomenology and brain substrate.,Griffiths TD,2000,Brain : a journal of neurology
136,11018487,Somatosensory cortex responses to median nerve stimulation: fMRI effects of current amplitude and selective attention.,"Backes WH, Mess WH, van Kranen-Mastenbroek V, Reulen JP",2000,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology
137,11050021,The functional neuroanatomy of social behaviour: changes in cerebral blood flow when people with autistic disorder process facial expressions.,"Critchley HD, Daly EM, Bullmore ET, Williams SC, Van Amelsvoort T, Robertson DM, Rowe A, Phillips M, McAlonan G, Howlin P, Murphy DG",2000,Brain : a journal of neurology
138,11050024,Understanding dissociations in dyscalculia: a brain imaging study of the impact of number size on the cerebral networks for exact and approximate calculation.,"Stanescu-Cosson R, Pinel P, van De Moortele PF, Le Bihan D, Cohen L, Dehaene S",2000,Brain : a journal of neurology
139,11050027,The neurology of saccades and covert shifts in spatial attention: an event-related fMRI study.,"Perry RJ, Zeki S",2000,Brain : a journal of neurology
140,11053230,Partially overlapping neural networks for real and imagined hand movements.,"Gerardin E, Sirigu A, Lehericy S, Poline JB, Gaymard B, Marsault C, Agid Y, Le Bihan D",2000,"Cerebral cortex (New York, N.Y. : 1991)"
141,11069306,The role of prefrontal cortex and posterior parietal cortex in task switching.,"Sohn MH, Ursu S, Anderson JR, Stenger VA, Carter CS",2000,Proceedings of the National Academy of Sciences of the United States of America
